,Movie,Release Year,Certification,Duration,Genre,Imdb,Metascore,Votes
207,The Sons of Sam: A Descent into Darkness,(2021),TV-MA,239 min,"Documentary, Crime, History",7.0,Not Available,"5,715"
208, The Walking Dead,(2010–2022),TV-MA,40 min,"Drama, Horror, Thriller",5.0,Not Available,"5,688"
209," Love, Death & Robots",(2019– ),TV-MA,13 min,"Animation, Short, Comedy",7.0,Not Available,"5,594"
210, Aspirants,(2021– ),Not Available,45 min,Drama,9.7,Not Available,"5,478"
211,November Story,(2021– ),Not Available,40 min,"Crime, Thriller",8.0,Not Available,"5,431"
212, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.6,Not Available,"5,425"
213,Krack,(2021),Not Rated,154 min,"Action, Crime, Thriller",7.3,Not Available,"5,402"
214," Love, Death & Robots",(2019– ),TV-MA,13 min,"Animation, Short, Comedy",6.6,Not Available,"5,398"
215,Young Rock,(2021– ),TV-PG,Not Available,Comedy,7.1,Not Available,"5,370"
216,Made for Love,(2021– ),TV-MA,30 min,"Comedy, Drama, Sci-Fi",6.9,Not Available,"5,361"
217, Invincible,(2021– ),TV-MA,46 min,"Animation, Action, Adventure",9.3,Not Available,"5,357"
218,The Last Hour,(2021– ),Not Available,36 min,"Crime, Drama, Mystery",7.5,Not Available,"5,336"
219,Maharani,(2021– ),Not Available,43 min,Drama,7.5,Not Available,"5,295"
220,Cruel Summer,(2021– ),TV-14,45 min,"Drama, Mystery, Thriller",7.5,Not Available,"5,128"
221,The Priest,(I) (2021),Not Available,140 min,"Horror, Mystery, Thriller",6.6,Not Available,"5,117"
222, Invincible,(2021– ),TV-MA,44 min,"Animation, Action, Adventure",8.6,Not Available,"4,966"
223, The Walking Dead,(2010–2022),TV-MA,44 min,"Drama, Horror, Thriller",6.2,Not Available,"4,879"
224, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.5,Not Available,"4,870"
225,Flora & Ulysses,(2021),PG,95 min,"Adventure, Comedy, Family",6.3,62,"4,856"
226,Panic,(2021– ),TV-14,Not Available,"Adventure, Crime, Drama",6.5,Not Available,"4,850"
227, Jujutsu Kaisen,(2020– ),TV-MA,24 min,"Animation, Action, Adventure",9.7,Not Available,"4,844"
228, The Walking Dead,(2010–2022),TV-MA,42 min,"Drama, Horror, Thriller",7.3,Not Available,"4,815"
229, Rick and Morty,(2013– ),TV-14,Not Available,"Animation, Adventure, Comedy",9.0,Not Available,"4,807"
230, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.6,Not Available,"4,754"
231, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.8,Not Available,"4,741"
232,Murder Among the Mormons,(2021),TV-14,160 min,"Documentary, Crime, History",7.0,Not Available,"4,727"
233, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.8,Not Available,"4,706"
234, Mare of Easttown,(2021),TV-MA,57 min,"Crime, Drama, Mystery",9.4,Not Available,"4,692"
